,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
1902,Bachelors,2017,Bangalore,3,25,Male,No,3,0
811,Bachelors,2014,Pune,2,25,Female,No,3,1
2576,Masters,2017,New Delhi,2,28,Female,No,2,0
1892,Bachelors,2013,Pune,3,28,Male,No,1,0
1713,Bachelors,2013,Bangalore,3,27,Male,No,5,1
2699,Masters,2017,New Delhi,3,27,Male,No,5,1
392,Bachelors,2015,Pune,3,27,Male,No,5,0
2420,Bachelors,2017,Bangalore,3,30,Male,No,2,1
939,Bachelors,2017,Pune,3,27,Male,No,5,0
709,Masters,2013,Bangalore,3,27,Male,No,5,1
3547,Bachelors,2017,New Delhi,3,35,Female,No,5,0
2514,Bachelors,2016,Pune,3,29,Male,No,5,0
3764,Bachelors,2016,Bangalore,3,41,Male,No,4,0
65,Bachelors,2018,Bangalore,3,40,Male,No,1,1
4015,PHD,2018,New Delhi,3,34,Male,No,0,1
3569,Bachelors,2017,Bangalore,3,38,Male,No,0,1
1948,Bachelors,2015,New Delhi,2,24,Female,No,2,1
2363,Bachelors,2016,Pune,3,28,Male,No,2,0
3348,Bachelors,2014,Pune,3,40,Male,No,5,0
3940,Bachelors,2017,Pune,3,38,Male,Yes,5,0
1672,Bachelors,2015,Bangalore,3,26,Female,No,4,0
9,Masters,2017,New Delhi,2,37,Male,No,2,0
4496,Bachelors,2014,Bangalore,3,38,Female,No,1,0
1116,Bachelors,2013,Bangalore,3,28,Male,No,3,1
333,Bachelors,2016,Pune,3,26,Male,No,4,0
3542,Bachelors,2016,Bangalore,3,36,Male,No,2,0
2703,Bachelors,2015,Bangalore,3,29,Female,No,0,0
4509,Bachelors,2013,Bangalore,3,35,Female,No,4,0
4296,Bachelors,2016,Bangalore,3,31,Male,No,0,0
1161,Bachelors,2015,New Delhi,3,28,Male,No,1,0
2194,Bachelors,2014,Bangalore,3,30,Male,No,1,0
1438,Bachelors,2012,Bangalore,3,28,Male,No,2,0
998,Bachelors,2015,Bangalore,3,28,Male,No,5,0
3470,Bachelors,2015,Bangalore,3,38,Male,Yes,4,0
3690,Bachelors,2018,Bangalore,3,34,Female,Yes,2,1
1693,Bachelors,2016,Pune,3,26,Male,No,4,0
2236,Bachelors,2014,Pune,1,28,Male,No,1,0
4328,PHD,2012,Bangalore,1,38,Male,No,5,0
3210,Bachelors,2012,Bangalore,3,32,Female,No,1,1
2863,Masters,2015,Pune,2,27,Female,No,5,0
2567,Bachelors,2014,Bangalore,3,28,Male,No,5,0
125,Masters,2014,Pune,3,24,Male,No,2,0
3256,Bachelors,2014,New Delhi,2,31,Female,No,4,1
1834,Bachelors,2013,Pune,3,25,Male,No,3,0
3563,Bachelors,2015,Pune,3,40,Female,Yes,2,1
1655,Bachelors,2015,New Delhi,3,26,Male,No,4,0
1920,Bachelors,2014,Pune,2,28,Female,No,1,1
4019,Bachelors,2018,Bangalore,3,37,Male,No,2,1
1323,Bachelors,2017,New Delhi,2,25,Female,No,3,0
1131,Masters,2017,New Delhi,2,25,Male,No,3,1
2609,Bachelors,2015,Bangalore,3,29,Male,No,1,0
943,Bachelors,2018,Bangalore,3,25,Male,No,3,1
696,Bachelors,2017,Bangalore,3,26,Male,No,4,0
814,Masters,2017,Pune,2,25,Male,No,3,1
4321,Bachelors,2014,Pune,3,33,Male,No,3,0
1649,Bachelors,2017,New Delhi,3,27,Male,No,5,0
2243,PHD,2014,New Delhi,2,27,Female,No,5,0
4399,Bachelors,2012,Bangalore,3,38,Male,No,4,0
1706,Bachelors,2017,Bangalore,3,26,Female,No,4,0
677,Bachelors,2014,Bangalore,3,25,Female,No,3,1
485,Masters,2017,Pune,2,24,Male,No,2,0
4294,Bachelors,2014,New Delhi,3,26,Female,No,4,0
2581,Bachelors,2016,Bangalore,3,28,Female,No,1,1
290,Bachelors,2016,Bangalore,3,24,Male,No,2,0
1200,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1039,Bachelors,2016,Bangalore,3,26,Male,No,4,0
2203,Bachelors,2015,Pune,3,28,Male,Yes,2,0
4083,Bachelors,2013,Bangalore,3,34,Female,Yes,2,0
1648,Bachelors,2017,Bangalore,3,27,Male,No,5,0
3905,Bachelors,2015,Bangalore,3,39,Male,No,1,0
199,Bachelors,2015,Pune,3,28,Male,No,3,0
4479,Bachelors,2012,Bangalore,3,26,Male,No,4,0
3968,Bachelors,2017,Bangalore,3,39,Male,No,5,0
522,Masters,2014,Bangalore,3,24,Female,No,2,1
3368,Bachelors,2017,Bangalore,3,40,Female,No,4,0
3355,Bachelors,2016,Bangalore,3,41,Male,No,4,0
3678,Masters,2013,New Delhi,3,41,Female,Yes,2,1
299,Bachelors,2012,Bangalore,3,27,Male,No,5,0
3782,Masters,2018,Bangalore,3,40,Male,No,2,1
79,PHD,2015,New Delhi,1,37,Male,No,1,0
1316,Bachelors,2012,Bangalore,3,27,Female,Yes,5,0
2110,Bachelors,2014,Pune,2,26,Male,No,4,0
2861,Bachelors,2012,Bangalore,3,28,Female,No,0,0
1587,Bachelors,2014,Bangalore,3,25,Male,No,3,0
3658,Bachelors,2018,Bangalore,3,32,Male,No,2,1
4541,Bachelors,2016,New Delhi,1,25,Female,Yes,3,0
4187,Bachelors,2014,Pune,1,37,Female,No,4,1
3587,Bachelors,2016,New Delhi,3,31,Female,Yes,4,0
3369,Bachelors,2015,Bangalore,3,31,Male,No,1,0
2073,Masters,2017,Pune,2,29,Female,No,2,0
1024,Bachelors,2014,New Delhi,3,27,Female,Yes,5,0
2527,Bachelors,2012,Bangalore,3,27,Female,No,5,0
402,Bachelors,2017,New Delhi,2,24,Male,No,2,0
3028,Bachelors,2014,Pune,2,36,Female,No,3,1
3082,Bachelors,2015,Pune,2,35,Female,Yes,4,1
3616,Masters,2015,New Delhi,3,38,Male,No,1,0
626,Bachelors,2014,Pune,3,27,Male,No,5,0
3825,Bachelors,2015,Pune,3,38,Male,No,4,0
3985,Bachelors,2015,Pune,3,34,Male,Yes,7,0
4289,Bachelors,2016,New Delhi,2,26,Female,No,4,1
3611,Bachelors,2014,Pune,3,31,Male,No,3,0
1360,Masters,2015,Bangalore,3,28,Male,No,1,1
2537,Bachelors,2013,Bangalore,3,26,Male,No,4,0
2462,Bachelors,2015,Pune,3,28,Male,No,1,0
2429,Bachelors,2013,Pune,2,27,Male,No,5,1
693,Bachelors,2015,Bangalore,3,25,Female,No,3,1
4415,Bachelors,2016,Bangalore,3,31,Male,No,5,0
2004,Bachelors,2015,Pune,2,28,Female,No,2,1
2770,Masters,2012,Pune,3,27,Male,Yes,5,1
3036,Masters,2017,New Delhi,2,36,Male,No,5,0
1974,Bachelors,2016,Bangalore,3,24,Male,No,2,0
4507,Bachelors,2015,Pune,3,39,Male,No,1,0
4350,Masters,2017,Pune,2,33,Female,No,2,0
1651,Bachelors,2016,Bangalore,3,26,Male,No,4,1
4222,Bachelors,2017,New Delhi,3,27,Male,No,5,0
3774,Bachelors,2016,Bangalore,3,36,Female,No,0,0
2553,Bachelors,2013,Bangalore,3,29,Male,Yes,4,0
238,Bachelors,2012,New Delhi,3,28,Male,No,1,0
539,Masters,2013,New Delhi,3,25,Female,No,3,0
1355,Masters,2012,New Delhi,3,28,Male,No,2,1
4622,Bachelors,2017,Pune,1,30,Male,No,4,0
3559,Bachelors,2014,Bangalore,3,32,Male,No,1,0
1526,Bachelors,2015,Pune,2,25,Female,No,3,1
1540,PHD,2012,Pune,3,27,Male,No,5,0
4026,Bachelors,2012,Bangalore,3,29,Male,No,4,0
1203,Masters,2017,Pune,2,27,Female,No,5,0
665,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1796,Bachelors,2017,New Delhi,2,26,Male,No,4,0
81,Bachelors,2013,Bangalore,3,31,Female,No,0,1
4067,Bachelors,2017,Bangalore,1,34,Male,Yes,0,0
971,Bachelors,2017,Bangalore,3,24,Male,No,2,0
2723,Bachelors,2016,Pune,3,26,Male,No,4,0
4613,Bachelors,2014,Bangalore,3,30,Male,No,4,0
477,Masters,2012,Pune,3,27,Female,No,5,1
3259,Bachelors,2015,New Delhi,3,38,Female,No,0,0
3588,Masters,2013,New Delhi,3,35,Male,No,4,0
2396,Masters,2017,New Delhi,2,28,Female,No,1,1
4463,Bachelors,2014,Pune,2,40,Female,No,0,1
3102,Masters,2015,New Delhi,1,34,Male,No,5,1
1554,Bachelors,2018,Bangalore,3,24,Female,No,2,1
61,Bachelors,2015,Bangalore,3,30,Male,No,5,0
1644,Masters,2017,New Delhi,2,28,Female,No,2,0
1434,Bachelors,2015,Bangalore,3,27,Female,No,5,0
4431,Bachelors,2016,Pune,2,29,Female,No,4,1
1616,Masters,2017,New Delhi,3,28,Male,No,2,0
3730,Bachelors,2015,Bangalore,3,39,Male,No,2,0
3732,Masters,2017,Pune,2,37,Male,No,2,0
1647,Bachelors,2014,Pune,2,27,Female,No,5,1
3376,Bachelors,2015,Pune,3,34,Male,No,5,0
593,Bachelors,2014,Bangalore,3,27,Male,No,5,0
2761,Bachelors,2018,Bangalore,3,29,Male,Yes,1,1
3258,Bachelors,2017,Bangalore,3,37,Female,No,4,0
2694,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1137,Bachelors,2012,Pune,3,28,Male,No,4,0
375,Bachelors,2018,New Delhi,3,26,Female,Yes,4,1
293,Bachelors,2012,New Delhi,3,27,Female,No,5,0
1744,Bachelors,2013,Bangalore,3,26,Female,No,4,0
2876,Bachelors,2017,New Delhi,2,30,Male,No,1,1
4421,Bachelors,2014,Bangalore,3,24,Male,No,2,0
4153,Bachelors,2017,Bangalore,3,33,Male,No,4,0
3926,Masters,2017,New Delhi,2,39,Female,No,2,1
2548,Bachelors,2012,New Delhi,3,26,Male,No,4,0
3105,Bachelors,2017,New Delhi,3,38,Male,No,2,0
3683,Bachelors,2013,Pune,3,39,Female,No,2,0
4500,Bachelors,2013,Bangalore,3,37,Female,No,2,1
2134,Bachelors,2016,Bangalore,3,28,Male,No,2,1
1582,Bachelors,2017,Bangalore,3,28,Male,No,1,1
2917,Bachelors,2017,New Delhi,3,26,Female,No,4,0
850,Bachelors,2017,Pune,2,24,Male,No,2,1
1072,Bachelors,2014,Bangalore,3,24,Male,Yes,2,0
603,Bachelors,2018,Bangalore,3,28,Female,No,3,1
2445,Bachelors,2014,Bangalore,3,30,Female,No,1,0
369,Bachelors,2014,Bangalore,3,28,Male,No,2,0
521,Masters,2015,Pune,2,24,Female,No,2,0
3794,Bachelors,2015,New Delhi,3,40,Female,No,1,0
4601,Bachelors,2016,Bangalore,3,37,Male,No,2,0
2808,Bachelors,2012,Bangalore,3,27,Male,No,5,1
2802,Masters,2013,Bangalore,1,29,Female,No,2,1
3284,Masters,2018,New Delhi,3,38,Male,No,2,1
2572,Masters,2013,New Delhi,1,29,Female,No,2,1
2811,Bachelors,2017,Bangalore,3,29,Male,No,4,0
1396,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1934,Bachelors,2017,Bangalore,3,26,Male,Yes,4,0
4484,Masters,2018,New Delhi,3,27,Female,Yes,5,1
3187,Masters,2017,New Delhi,3,32,Male,No,1,1
1417,Bachelors,2016,Pune,3,27,Female,No,5,1
1698,Bachelors,2014,Pune,3,28,Female,No,2,1
3196,Bachelors,2017,Bangalore,3,35,Male,No,5,0
410,Bachelors,2015,Pune,2,25,Female,Yes,3,1
1825,Bachelors,2014,Bangalore,3,28,Male,No,1,0
3480,Bachelors,2017,Bangalore,3,38,Female,No,2,0
4005,Masters,2014,New Delhi,3,28,Male,Yes,2,1
1406,Bachelors,2017,Bangalore,3,28,Female,Yes,5,0
4506,Masters,2014,New Delhi,3,34,Female,No,1,1
3353,Bachelors,2012,New Delhi,3,35,Female,No,2,0
3933,Bachelors,2012,Bangalore,3,36,Male,No,1,0
4464,Bachelors,2017,Pune,2,25,Male,No,3,0
1790,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1299,Bachelors,2013,Pune,3,28,Female,Yes,3,1
2530,Bachelors,2015,Bangalore,3,29,Female,No,1,0
1963,Bachelors,2012,Bangalore,3,28,Female,No,1,1
4650,Masters,2018,New Delhi,3,27,Male,No,5,1
317,Bachelors,2014,Pune,3,25,Female,No,3,1
3203,Bachelors,2013,Bangalore,1,39,Female,No,1,1
4145,Masters,2017,New Delhi,2,34,Male,Yes,2,0
685,Bachelors,2016,New Delhi,3,28,Female,No,2,0
3015,Bachelors,2014,Bangalore,3,36,Male,No,3,0
2483,Bachelors,2013,Bangalore,3,30,Female,No,2,1
4512,Masters,2017,New Delhi,1,23,Male,No,1,0
2118,Masters,2015,New Delhi,1,27,Male,Yes,5,1
3971,Masters,2014,Bangalore,3,40,Female,No,7,1
2269,Bachelors,2013,Bangalore,3,27,Male,No,5,1
829,Bachelors,2012,Pune,3,28,Female,No,2,0
3718,Bachelors,2012,Bangalore,3,38,Male,Yes,0,0
2155,Bachelors,2015,New Delhi,3,26,Female,No,4,0
3182,Masters,2015,Bangalore,3,32,Female,No,2,1
658,Bachelors,2014,Pune,2,25,Female,No,3,1
2550,Bachelors,2017,New Delhi,2,29,Male,No,3,1
3646,Masters,2017,Bangalore,2,32,Male,No,2,0
2466,PHD,2013,New Delhi,3,27,Male,No,5,0
1282,Bachelors,2017,New Delhi,3,25,Female,No,3,0
3092,Bachelors,2016,Bangalore,3,39,Female,No,1,0
1637,Bachelors,2016,Bangalore,3,26,Male,No,4,0
348,Bachelors,2017,Pune,2,24,Male,No,2,1
3626,Bachelors,2014,Bangalore,3,41,Male,No,5,0
4651,Bachelors,2012,Bangalore,3,30,Male,Yes,2,0
554,Masters,2017,New Delhi,2,25,Male,No,3,0
1998,Bachelors,2013,Bangalore,3,26,Male,No,4,0
233,Bachelors,2018,Bangalore,3,24,Male,No,2,1
2571,Masters,2013,New Delhi,3,30,Male,No,2,1
1977,Bachelors,2014,Bangalore,3,25,Male,No,3,0
3118,Bachelors,2015,Pune,3,37,Male,No,1,0
767,Bachelors,2018,Bangalore,3,26,Male,No,4,1
2826,Bachelors,2017,New Delhi,3,30,Male,No,5,0
601,Bachelors,2013,Bangalore,3,25,Male,No,3,0
543,Bachelors,2013,Bangalore,3,24,Male,No,2,0
1391,Bachelors,2014,Bangalore,3,26,Female,No,4,1
2228,Bachelors,2012,Bangalore,3,28,Male,No,1,0
2018,Bachelors,2018,Bangalore,3,26,Male,Yes,4,1
4103,Bachelors,2012,New Delhi,3,28,Female,No,1,0
1150,Bachelors,2018,Bangalore,3,25,Male,No,3,1
1294,Bachelors,2015,Pune,1,25,Female,No,3,1
4264,Bachelors,2016,Bangalore,3,27,Male,Yes,5,0
407,Bachelors,2015,Bangalore,3,28,Male,No,2,0
4281,Bachelors,2013,Bangalore,3,37,Female,No,4,0
3211,Bachelors,2018,Bangalore,3,36,Male,No,3,1
892,Bachelors,2017,Bangalore,3,25,Female,No,3,0
1828,Masters,2013,New Delhi,3,28,Male,No,1,0
3119,Masters,2015,Pune,1,40,Female,No,1,0
4225,Bachelors,2016,Bangalore,3,22,Male,No,0,0
190,Bachelors,2015,Bangalore,3,26,Male,No,4,0
3716,Bachelors,2015,Pune,3,32,Female,No,3,1
224,Bachelors,2015,Pune,1,24,Female,Yes,2,1
4438,Bachelors,2014,Bangalore,3,36,Female,No,3,1
641,Bachelors,2015,Pune,2,24,Female,No,2,1
2859,Bachelors,2014,Bangalore,3,27,Male,No,5,0
4121,Bachelors,2014,Bangalore,3,30,Male,No,1,0
2515,Bachelors,2014,Bangalore,3,29,Male,No,0,0
2834,Bachelors,2015,Bangalore,3,27,Male,No,5,0
2081,Bachelors,2013,Pune,2,29,Female,No,1,1
2582,Bachelors,2017,Pune,2,27,Female,No,5,1
1850,Bachelors,2016,Pune,3,28,Female,No,2,1
3557,PHD,2015,Bangalore,3,31,Male,No,3,0
331,Bachelors,2013,Pune,2,28,Female,No,1,1
3995,Bachelors,2016,Bangalore,3,29,Male,No,0,0
3802,Bachelors,2013,Bangalore,3,37,Male,No,5,0
2822,Bachelors,2017,Bangalore,3,29,Female,No,5,0
4495,Bachelors,2017,Bangalore,3,40,Female,No,3,0
4492,Masters,2017,Pune,2,33,Male,Yes,2,0
3193,Masters,2017,New Delhi,2,34,Female,No,2,1
2805,Bachelors,2015,Bangalore,3,29,Male,No,4,0
482,Bachelors,2016,Pune,2,24,Female,No,2,1
2444,Bachelors,2015,New Delhi,3,29,Female,Yes,1,0
1730,Bachelors,2017,Bangalore,3,24,Female,No,2,0
3717,Bachelors,2015,Bangalore,3,35,Male,Yes,2,0
4194,Bachelors,2018,Bangalore,3,33,Male,No,4,1
2740,Masters,2018,Bangalore,3,27,Male,Yes,5,1
247,Bachelors,2015,Bangalore,3,27,Male,No,5,0
739,Masters,2014,New Delhi,3,24,Male,No,2,1
2638,Masters,2017,New Delhi,2,30,Female,No,2,1
243,Bachelors,2014,Bangalore,3,25,Female,No,3,1
3864,Bachelors,2012,Bangalore,3,34,Male,No,2,0
4402,Bachelors,2014,Pune,3,34,Male,No,5,0
982,Bachelors,2015,Pune,3,25,Female,No,3,1
1986,Bachelors,2017,Pune,3,27,Male,Yes,5,0
408,Bachelors,2016,Pune,3,24,Male,No,2,0
639,Bachelors,2014,Bangalore,3,26,Male,No,4,0
4306,Bachelors,2016,Bangalore,3,34,Female,No,0,0
3122,Bachelors,2015,Bangalore,2,32,Female,No,2,1
3274,Bachelors,2013,Bangalore,3,35,Male,No,0,0
4048,Bachelors,2014,Bangalore,3,22,Male,No,0,0
1852,Bachelors,2018,Bangalore,3,25,Female,No,3,1
1304,Bachelors,2012,Bangalore,3,25,Male,No,3,0
3335,Bachelors,2016,Bangalore,3,37,Female,No,0,0
4334,Bachelors,2015,Pune,2,36,Male,No,5,0
2451,Bachelors,2015,Bangalore,3,26,Male,No,4,0
2393,Masters,2017,New Delhi,2,28,Female,No,2,0
1747,Masters,2017,New Delhi,3,26,Male,No,4,1
580,Masters,2015,New Delhi,3,28,Female,Yes,2,0
3314,Bachelors,2017,Pune,3,36,Female,No,0,1
4027,Bachelors,2017,Bangalore,3,34,Male,No,5,0
1156,Bachelors,2015,Pune,3,25,Male,No,3,0
2233,Bachelors,2014,New Delhi,3,28,Female,No,1,0
3888,Bachelors,2017,Bangalore,3,35,Male,No,0,0
4619,Bachelors,2016,Pune,3,38,Male,No,2,0
4292,PHD,2017,New Delhi,3,34,Female,No,3,0
2490,Masters,2017,Pune,2,28,Male,No,2,0
4643,Bachelors,2013,Bangalore,3,31,Female,No,5,0
923,PHD,2015,Pune,2,28,Female,No,1,0
1831,Bachelors,2016,New Delhi,3,26,Female,No,4,0
1753,Bachelors,2014,Bangalore,3,28,Male,No,0,0
4646,Bachelors,2013,Bangalore,3,25,Female,No,3,0
2843,Bachelors,2013,New Delhi,3,30,Female,No,3,1
2179,Bachelors,2018,Pune,3,27,Male,No,5,1
4493,Bachelors,2014,Bangalore,3,39,Male,No,0,0
1545,Bachelors,2016,Pune,3,24,Male,No,2,0
1457,Bachelors,2016,Bangalore,3,27,Female,No,5,0
289,Bachelors,2018,Bangalore,3,26,Male,No,4,1
3554,Bachelors,2014,Bangalore,3,38,Female,No,4,0
2331,Bachelors,2018,Bangalore,3,28,Male,No,2,1
3593,Bachelors,2015,Bangalore,3,32,Female,No,0,0
1768,Bachelors,2018,Pune,3,24,Male,No,2,1
1549,Bachelors,2012,Pune,3,24,Female,No,2,1
3850,Masters,2015,Bangalore,3,31,Male,No,1,1
2793,Masters,2012,New Delhi,3,26,Female,No,4,0
1357,Bachelors,2015,Pune,3,25,Female,No,3,1
1371,Bachelors,2015,Pune,3,24,Male,No,2,0
1538,Bachelors,2018,New Delhi,3,24,Female,No,2,1
208,Masters,2017,Bangalore,3,28,Male,No,2,0
519,Bachelors,2014,Bangalore,3,27,Male,No,5,1
3319,Bachelors,2013,Bangalore,3,35,Male,No,5,0
1810,Bachelors,2012,New Delhi,3,24,Female,No,2,0
1111,Bachelors,2013,Pune,3,26,Male,No,4,0
3131,Masters,2017,Bangalore,3,39,Female,No,4,1
150,Bachelors,2018,New Delhi,3,27,Female,No,5,1
4369,Bachelors,2014,Pune,3,37,Male,No,1,0
3396,Bachelors,2017,Bangalore,3,36,Male,No,2,0
2715,Masters,2018,Pune,3,26,Male,No,4,1
3835,Bachelors,2014,Pune,2,36,Female,No,3,1
2030,Bachelors,2015,Bangalore,3,30,Male,No,2,0
2286,Masters,2017,New Delhi,2,26,Male,No,4,0
773,Bachelors,2017,Bangalore,3,24,Female,No,2,0
3596,Bachelors,2014,Pune,3,37,Male,No,4,0
999,Bachelors,2012,Pune,2,26,Female,No,4,1
3890,Bachelors,2017,Bangalore,3,41,Male,No,5,0
4548,PHD,2012,New Delhi,3,30,Male,No,4,0
3870,Bachelors,2015,Bangalore,3,31,Female,No,5,0
4134,Bachelors,2013,Pune,3,33,Male,No,5,0
503,Bachelors,2014,New Delhi,3,28,Female,No,2,0
4277,Bachelors,2013,Bangalore,3,38,Male,No,0,0
4262,Bachelors,2014,New Delhi,3,32,Male,No,5,0
1099,Masters,2017,Pune,2,27,Male,No,5,1
259,Bachelors,2017,New Delhi,2,27,Female,No,5,0
1220,Masters,2017,New Delhi,2,28,Male,No,3,0
1581,Bachelors,2013,Pune,2,24,Female,No,2,1
129,Masters,2013,Pune,1,24,Male,No,2,1
2276,Masters,2017,New Delhi,2,30,Male,No,1,0
257,Masters,2017,New Delhi,2,28,Female,No,1,0
843,Masters,2017,New Delhi,2,27,Female,No,5,0
1564,Masters,2017,Pune,2,27,Male,No,5,0
1312,Bachelors,2017,Pune,3,25,Female,No,3,1
1082,Bachelors,2012,Bangalore,3,28,Male,No,5,0
1470,Bachelors,2015,Pune,2,26,Female,No,4,1
2709,PHD,2013,Bangalore,3,27,Male,No,5,0
4413,Bachelors,2015,Bangalore,3,23,Male,No,1,0
2189,Bachelors,2014,New Delhi,3,29,Female,No,1,0
2752,Masters,2013,Bangalore,3,30,Male,No,2,1
1014,Masters,2015,New Delhi,3,24,Male,No,2,1
1608,Bachelors,2013,Bangalore,3,24,Male,No,2,1
2974,Bachelors,2015,Bangalore,3,27,Female,No,5,0
451,Bachelors,2016,Bangalore,3,24,Male,No,2,0
4,Masters,2017,Pune,3,24,Male,Yes,2,1
4550,PHD,2014,Bangalore,3,23,Male,No,1,0
1589,Bachelors,2014,Bangalore,3,25,Male,No,3,0
2654,Bachelors,2015,Bangalore,3,27,Male,No,5,0
2954,Bachelors,2016,Bangalore,3,28,Male,No,3,1
2932,Bachelors,2012,Bangalore,3,28,Male,No,2,0
351,Bachelors,2016,Bangalore,3,25,Male,No,3,1
3791,Bachelors,2016,Bangalore,3,34,Male,Yes,1,0
421,Bachelors,2015,New Delhi,3,26,Male,No,4,0
1444,Bachelors,2017,New Delhi,3,26,Male,No,4,0
1258,Masters,2015,Pune,2,24,Female,No,2,1
2300,Masters,2014,Bangalore,3,28,Male,No,1,1
177,Bachelors,2015,Bangalore,3,25,Male,No,3,0
553,Bachelors,2013,Bangalore,3,27,Male,No,5,0
4101,Bachelors,2018,Pune,3,40,Male,No,3,1
419,Bachelors,2016,Pune,3,28,Male,No,1,0
3360,Bachelors,2014,Bangalore,3,40,Female,No,0,0
980,Bachelors,2014,New Delhi,3,24,Male,No,2,0
3610,Bachelors,2015,Pune,2,39,Female,Yes,1,1
1534,Bachelors,2012,Bangalore,3,28,Female,No,1,0
1494,Bachelors,2017,Pune,2,26,Female,No,4,1
3363,Bachelors,2016,Pune,3,38,Male,No,0,0
2625,Bachelors,2015,Pune,2,28,Female,No,0,1
4528,Bachelors,2013,Pune,2,36,Male,No,4,0
4255,Bachelors,2012,New Delhi,3,22,Female,No,0,0
4236,Bachelors,2013,Bangalore,3,36,Male,No,4,0
3453,Masters,2014,New Delhi,3,34,Male,No,5,0
4288,PHD,2015,New Delhi,1,38,Male,No,5,0
2661,Bachelors,2013,Pune,3,28,Male,No,0,0
4076,Bachelors,2017,Bangalore,3,28,Male,Yes,3,0
3768,Bachelors,2016,New Delhi,3,33,Male,No,1,0
3558,Bachelors,2013,Bangalore,3,37,Male,No,5,0
894,Bachelors,2013,Bangalore,3,28,Female,No,3,0
4315,Bachelors,2018,Bangalore,3,36,Male,No,3,1
2578,PHD,2013,New Delhi,3,27,Female,No,5,0
724,Bachelors,2018,Bangalore,3,26,Male,No,4,1
3132,Bachelors,2012,Bangalore,3,41,Male,No,3,0
4119,Bachelors,2015,New Delhi,3,22,Male,No,0,0
517,Bachelors,2012,Pune,3,28,Male,No,3,0
713,Bachelors,2016,Pune,2,27,Female,No,5,1
3051,Bachelors,2015,Bangalore,3,34,Male,No,5,0
4483,Bachelors,2014,Bangalore,3,34,Male,No,5,0
3885,Bachelors,2013,Bangalore,3,39,Male,No,2,0
2115,Masters,2016,New Delhi,3,26,Female,No,4,0
2212,Bachelors,2012,New Delhi,3,26,Female,No,4,0
1303,Bachelors,2012,Bangalore,3,26,Male,No,4,0
4428,Bachelors,2017,New Delhi,3,39,Female,No,4,0
3472,Bachelors,2018,Bangalore,3,41,Female,No,2,1
1209,Masters,2017,Pune,2,24,Female,No,2,1
2173,Masters,2017,New Delhi,2,27,Male,No,5,0
2986,Bachelors,2012,Pune,3,26,Male,No,4,0
3037,Bachelors,2013,New Delhi,3,33,Female,No,1,0
1441,Bachelors,2016,Pune,3,27,Male,No,5,0
1325,Bachelors,2012,New Delhi,3,25,Female,No,3,0
2839,Masters,2012,New Delhi,3,29,Male,No,2,0
3091,Bachelors,2015,Bangalore,3,40,Female,No,2,0
3174,Bachelors,2016,New Delhi,3,40,Female,No,1,1
2882,Bachelors,2016,Pune,2,30,Female,No,1,1
657,Masters,2017,Pune,2,28,Female,No,1,0
1799,Masters,2017,Pune,3,27,Female,No,5,1
2704,Bachelors,2015,Pune,2,27,Female,Yes,5,1
3126,Bachelors,2014,Bangalore,3,35,Male,No,3,0
2840,Bachelors,2013,Bangalore,3,27,Male,No,5,0
3801,Bachelors,2014,Bangalore,3,32,Male,No,2,1
1992,Bachelors,2017,Pune,2,26,Male,No,4,0
4003,Bachelors,2016,Bangalore,3,31,Male,Yes,5,0
4316,Bachelors,2014,New Delhi,3,23,Male,No,1,0
215,Bachelors,2014,New Delhi,3,25,Female,No,3,0
330,Masters,2017,New Delhi,2,25,Female,No,3,1
2909,Bachelors,2017,Bangalore,3,30,Male,No,0,0
3483,Bachelors,2013,Bangalore,3,32,Female,No,1,0
2293,Bachelors,2013,New Delhi,3,27,Male,No,5,0
2068,Bachelors,2016,Bangalore,3,30,Male,No,2,0
2029,Masters,2017,New Delhi,2,29,Female,No,2,1
2877,Bachelors,2015,Bangalore,3,27,Male,No,5,0
2325,Bachelors,2013,Bangalore,3,27,Male,No,5,0
961,PHD,2016,Bangalore,3,27,Male,No,5,0
2687,Bachelors,2018,Bangalore,3,28,Male,No,3,1
4042,Bachelors,2012,Bangalore,3,24,Male,No,2,0
3962,Bachelors,2016,Pune,3,38,Female,No,7,0
3027,Bachelors,2018,Pune,3,40,Male,Yes,3,1
4631,Bachelors,2018,Bangalore,3,32,Male,Yes,1,1
3793,Bachelors,2015,Bangalore,3,40,Male,No,5,0
4183,Bachelors,2016,Bangalore,3,38,Male,No,4,0
3318,Masters,2013,New Delhi,3,35,Male,No,2,0
1660,Bachelors,2018,Bangalore,3,24,Female,No,2,1
2473,Bachelors,2015,Pune,2,26,Female,No,4,1
3364,Bachelors,2017,Bangalore,2,37,Male,No,2,1
4407,Bachelors,2013,Pune,2,33,Female,Yes,4,1
182,Bachelors,2018,Bangalore,3,24,Male,No,2,1
4581,Bachelors,2018,Bangalore,3,26,Male,No,4,1
1583,Bachelors,2012,Bangalore,3,25,Male,No,3,0
2184,Bachelors,2014,Bangalore,3,26,Female,No,4,0
